dataset,target,mol_id,aimnet_interaction_kcal_mol_delta,desolvation_kcal_mol_delta,local_strain_kcal_mol_delta,aimnet2_composite_kcal_mol_delta
t3,L1/P06239,15824,-5.339670052121967,5.2231598946406166e-05,0.0,-5.339617820523021
t3,L1/P06239,16292,2.6182236719820224,3.711192556643539e-05,0.0,2.6182607839075906
t3,L1/P06239,16940,-13.776469781057582,-3.3223709126051446,0.0,-17.09884069366273
t3,L1/P06239,18189,-2.0662951109109677,-1.0996126093232306e-05,0.0,-2.066306107037061
t3,L1/P06239,31540,-8.700881338496124,-4.398450437292922e-05,0.0,-8.7009253230005
t3,L1/P06239,43152,18.472093948779122,0.4428304920009474,0.0,18.91492444078007
t3,L1/P06239,72037,-13.30463356012663,-17.39894876402939,0.0,-30.70358232415602
t3,L1/P06239,72174,-8.61406828273319,-0.21011397740720383,0.0,-8.824182260140404
t3,L1/P06239,102288,-0.6616513395010806,2.611579947497944e-05,0.0,-0.6616252237016074
t3,L1/P06239,104832,14.70655235689119,2.1992252190017325e-05,0.0,14.706574349143382
t3,L1/P08922,1812,-0.4277637374783071,-1.3745157598776814e-06,0.0,-0.4277651119940682
t3,L1/P08922,1814,-14.611293605305463,1.5352488859198044,0.0,-13.076044719385658
t3,L1/P08922,16940,-1.7780309794369984,-2.03088414994067,0.0,-3.8089151293776666
t3,L1/P08922,38653,4.361550874781246,5.085708318475213e-05,0.0,4.361601731864431
t3,L1/P08922,44625,-24.52729703226622,0.8622172431691482,0.0,-23.66507978909707
t3,L1/P08922,52639,16.298254327150705,1.1208090169782157,0.0,17.41906334412892
t3,L1/P08922,62123,-1.37988875529226,2.061773642658693e-05,0.0,-1.3798681375558282
t3,L1/P08922,62474,5.06250099123913,-6.872578806493834e-06,0.0,5.062494118660322
t3,L1/P08922,70772,-11.38114651499415,0.1903649349420906,0.0,-11.190781580052063
t3,L1/P08922,100526,-5.338970751120559,1.1140422758830226,0.0,-4.224928475237533
t3,L1/P0C6U8,20305,15.5887612474098,1.0817851399858043,0.0,16.670546387395618
t3,L1/P0C6U8,20766,-12.06251458845729,2.47412837133254e-05,0.0,-12.06248984717358
t3,L1/P0C6U8,34868,-4.160272288382018,-1.924322066670925e-05,0.0,-4.160291531602681
t3,L1/P0C6U8,48138,2.0443389397613885,8.247094573476943e-06,0.0,2.0443471868559726
t3,L1/P0C6U8,52582,5.976955683772477,-8.247094570634772e-05,0.0,5.976873212826774
t3,L1/P0C6U8,56675,-11.223670308626406,-5.4980630473266956e-05,0.0,-11.223725289256883
t3,L1/P0C6U8,60488,8.04596786452084,-0.44019142173835135,0.0,7.605776442782485
t3,L1/P0C6U8,72398,-5.281293664354109,1.1683383981164752e-05,0.0,-5.281281980970135
t3,L1/P0C6U8,85332,2.5913175246030846,-3.848644132631307e-05,0.0,2.591279038161751
t3,L1/P0C6U8,93662,-15.215882610214535,-3.298837827969692e-05,0.0,-15.215915598592815
t3,L1/P33981,13094,-5.064965502530248,6.322772504141483e-05,0.0,-5.064902274805206
t3,L1/P33981,17304,3.00801365982531,-3.508315404857381,0.0,-0.5003017450320719
t3,L1/P33981,24785,-1.9403169605874684,-0.3969793952198266,0.0,-2.3372963558072968
t3,L1/P33981,29015,-17.718806399351656,1.6786232505142689,0.0,-16.04018314883739
t3,L1/P33981,69855,-15.202302392139227,-341.79182452851524,0.0,-356.99412692065437
t3,L1/P33981,100543,-11.768366841510014,2.5428541592376064e-05,0.0,-11.768341412968422
t3,L1/P33981,110486,-6.41168992474377,-95.4177350868931,0.0,-101.82942501163689
t3,L1/P33981,124206,-13.644564380174021,-166.38335158982525,0.0,-180.0279159699993
t3,L1/P33981,125573,-28.400886567712526,-175.8515577161068,0.0,-204.25244428381933
t3,L1/P33981,137617,-22.414679024723505,-275.9892548479836,0.0,-298.4039338727072
t3,L1/P35354,18361,-6.606493861023093,-5.772966199302232e-05,0.0,-6.606551590685086
t3,L1/P35354,26932,-20.38143191037388,-2.886483100184023e-05,0.0,-20.381460775204857
t3,L1/P35354,34171,-23.899182493440453,-2.061773642658693e-05,0.0,-23.89920311117688
t3,L1/P35354,34316,9.539564797969422,-8.24709456992423e-06,0.0,9.539556550874842
t3,L1/P35354,53979,-6.923692240063749,5.360611470450749e-05,0.0,-6.9236386339490394
t3,L1/P35354,86098,7.819693361673561,1.4432415499143758e-05,0.0,7.81970779408906
t3,L1/P35354,90716,-15.552398431925447,-2.336676794811865e-05,0.0,-15.552421798693402
