mol_id,source_index,label,paff,formal_charge,smina_affinity_kcal_mol,aimnet_complex_eV,aimnet_pocket_eV,aimnet_ligand_eV,aimnet_interaction_eV,aimnet_interaction_kcal_mol,aimnet_score,aimnet_rank,smina_rank
70897,149,0,,0,-7.40048,-253001.87710983248,-194591.70549166933,-58408.16338612762,-2.008232035528636,-46.31093091028946,46.31093091028946,58.0,191.0
92490,170,0,,0,-8.91628,-239958.5302659721,-194591.70551983043,-45364.8181863574,-2.00655978427676,-46.272367880310775,46.272367880310775,59.0,31.0
80789,102,0,,0,-7.67022,-240652.3804959604,-194591.70551983043,-46058.67803488881,-1.996941241173772,-46.050559007023445,46.050559007023445,60.0,170.0
108737,148,0,,0,-8.42297,-331109.52444813726,-194591.70550220693,-136515.83758537166,-1.9813605586823544,-45.69125993319641,45.69125993319641,61.0,80.0
438,42,1,8.0,0,-8.45473,-249139.47508379645,-194591.70551983043,-54545.80171110121,-1.9678528648146312,-45.37976511267843,45.37976511267843,62.0,77.0
130295,86,0,,0,-5.99036,-219633.1641593965,-194591.70551983043,-25039.49190450395,-1.9667350620802608,-45.35398796925728,45.35398796925728,63.0,244.0
108281,151,0,,0,-7.29782,-274675.5826298889,-194591.70551983043,-80081.91121578428,-1.965894274195307,-45.3345989400209,45.3345989400209,64.0,200.0
52055,187,0,,0,-7.43784,-261911.8385467553,-194591.70551983043,-67318.17692536708,-1.9561015578074148,-45.10877353536623,45.10877353536623,65.0,187.0
64450,30,1,8.0,0,-8.62418,-243366.12074614436,-194591.70551983043,-48772.45961446178,-1.9556118521140888,-45.09748065380236,45.09748065380236,66.0,54.0
91355,246,0,,0,-7.73173,-272035.9941959055,-194591.70551983043,-77442.34701021577,-1.941665859310888,-44.77587841971867,44.77587841971867,67.0,159.0
9457,146,0,,0,-7.2808,-236676.5506731813,-194591.70551983043,-42082.90706182902,-1.938091521857132,-44.69345223990356,44.69345223990356,68.0,203.0
32175,160,0,,0,-8.4228,-247459.07947992143,-194591.70550220693,-52865.44185430359,-1.9321234109447687,-44.55582433275057,44.55582433275057,69.0,81.0
10489,104,0,,0,-7.09521,-244809.02077896777,-194591.70550220693,-50215.42273368264,-1.892543078196468,-43.64308017625656,43.64308017625656,70.0,209.0
12842,41,1,8.0,0,-8.68793,-240351.21535063887,-194591.70549166933,-45757.6178927128,-1.8919662567423077,-43.62977835752317,43.62977835752317,71.0,50.0
19285,226,0,,0,-7.83154,-242852.4980893416,-194591.70551983043,-48258.90402107748,-1.8885484337151863,-43.55096148612966,43.55096148612966,72.0,151.0
88371,72,0,,0,-8.55173,-257886.178709633,-194591.70550220693,-63292.611405672505,-1.8618017535773104,-42.9341683894999,42.9341683894999,73.0,62.0
82954,181,0,,0,-9.12761,-293750.18801720155,-194591.70549166933,-99156.62208569108,-1.86043984114076,-42.90276194261571,42.90276194261571,74.0,15.0
34432,4,1,8.0,0,-8.02548,-233615.91763193288,-194591.70550220693,-39022.36609662688,-1.8460330990783405,-42.57053457820189,42.57053457820189,75.0,131.0
89373,52,1,8.0,0,-8.26293,-232112.9874453016,-194591.70550220693,-37519.43968812884,-1.842254965842585,-42.48340875600831,42.48340875600831,76.0,99.0
70447,211,0,,0,-7.04455,-237883.5647620192,-194591.70551983043,-43290.0219048271,-1.8373373616705069,-42.37000610978604,42.37000610978604,77.0,215.0
58399,186,0,,0,-7.71172,-241726.89229132983,-194591.70551983043,-47133.36571569464,-1.8210558047576344,-41.9945444878398,41.9945444878398,78.0,166.0
10068,8,1,8.0,0,-8.3024,-233616.68242912684,-194591.70550220693,-39023.157575637466,-1.8193512824509528,-41.95523726965821,41.95523726965821,79.0,92.0
33773,248,0,,0,-7.07463,-306856.95204980066,-194591.70550220693,-112263.44671026306,-1.7998373306763824,-41.505234851396345,41.505234851396345,80.0,212.0
101132,210,0,,0,-9.11301,-226033.14986896687,-194591.70551983043,-31439.646367106805,-1.7979820296895923,-41.46245059425028,41.46245059425028,81.0,16.0
142222,225,0,,0,-6.9497,-236743.1138344329,-194591.70549166933,-42149.61435323216,-1.7939895314193564,-41.37038139692584,41.37038139692584,82.0,223.0
25490,34,1,8.0,0,-8.73187,-234106.3626253445,-194591.70551983043,-39512.86459324692,-1.7925122671949794,-41.33631487462113,41.33631487462113,83.0,47.0
119287,237,0,,0,-7.52998,-237619.35101896795,-194591.70549166933,-43025.85424501166,-1.7912822869620868,-41.3079508566298,41.3079508566298,84.0,180.0
111294,68,0,,0,-8.5304,-234061.9748367473,-194591.70550220693,-39468.47830773165,-1.7910268087289296,-41.30205938861439,41.30205938861439,85.0,63.0
96818,234,0,,0,-8.88903,-241559.00664695908,-194591.70551983043,-46965.520865123326,-1.7802620053262217,-41.05381712485904,41.05381712485904,86.0,33.0
